Time,O,H,L,C,V
09/10/2019 01:00:00,1.0958,1.09633,1.09577,1.09614,1744
09/10/2019 02:00:00,1.09613,1.09657,1.09612,1.09653,1416
09/10/2019 03:00:00,1.09653,1.09654,1.09628,1.09634,832
09/10/2019 04:00:00,1.09635,1.09648,1.0961,1.09623,1032
09/10/2019 05:00:00,1.09624,1.09627,1.09587,1.09598,1343
09/10/2019 06:00:00,1.096,1.09624,1.09558,1.09623,2578
09/10/2019 07:00:00,1.09627,1.09838,1.0961,1.09784,6511
09/10/2019 08:00:00,1.09782,1.099,1.09781,1.09842,5714
09/10/2019 09:00:00,1.09841,1.09904,1.09762,1.0982,6678
09/10/2019 10:00:00,1.09822,1.09891,1.09758,1.09814,4012
09/10/2019 11:00:00,1.0981,1.09835,1.09736,1.09788,3589
09/10/2019 12:00:00,1.09789,1.09832,1.09716,1.09752,3401
09/10/2019 13:00:00,1.09751,1.09838,1.09743,1.09807,3937
09/10/2019 14:00:00,1.09809,1.09838,1.09746,1.09796,4401
09/10/2019 15:00:00,1.098,1.09834,1.09756,1.09779,3796
09/10/2019 16:00:00,1.09778,1.09779,1.09704,1.09731,2870
09/10/2019 17:00:00,1.09732,1.0982,1.09726,1.09788,2808
09/10/2019 18:00:00,1.09787,1.09794,1.09716,1.09739,3087
09/10/2019 19:00:00,1.09738,1.09788,1.09708,1.09761,3257
09/10/2019 20:00:00,1.0976,1.09762,1.09679,1.0971,1505
09/10/2019 21:00:00,1.09719,1.09749,1.09705,1.09731,1097
09/10/2019 22:00:00,1.09728,1.09857,1.09724,1.09846,3847
09/10/2019 23:00:00,1.09848,1.09898,1.09836,1.09844,2645
10/10/2019 00:00:00,1.09842,1.09868,1.09812,1.09818,4772
10/10/2019 01:00:00,1.09819,1.09934,1.09798,1.09878,5546
10/10/2019 02:00:00,1.09877,1.09932,1.09865,1.09906,1965
10/10/2019 03:00:00,1.09902,1.0991,1.09883,1.09888,1053
10/10/2019 04:00:00,1.09889,1.09889,1.0985,1.09863,1116
10/10/2019 05:00:00,1.09862,1.09886,1.0984,1.09878,1788
10/10/2019 06:00:00,1.09877,1.10096,1.09831,1.10065,5319
10/10/2019 07:00:00,1.10068,1.10195,1.10046,1.10166,7203
10/10/2019 08:00:00,1.10164,1.10198,1.10123,1.10176,5208
10/10/2019 09:00:00,1.10178,1.10336,1.10136,1.10304,4851
10/10/2019 10:00:00,1.10302,1.10336,1.10259,1.10262,4553
10/10/2019 11:00:00,1.10261,1.10338,1.10214,1.10242,5396
10/10/2019 12:00:00,1.1024,1.10333,1.1018,1.10234,7043
10/10/2019 13:00:00,1.10233,1.1028,1.10159,1.10194,6939
10/10/2019 14:00:00,1.10192,1.10246,1.10119,1.1013,8640
10/10/2019 15:00:00,1.10128,1.10182,1.10022,1.10176,7177
10/10/2019 16:00:00,1.10175,1.10236,1.10134,1.10166,5313
10/10/2019 17:00:00,1.10165,1.10222,1.1012,1.10154,4132
10/10/2019 18:00:00,1.10156,1.10178,1.10053,1.10071,4266
10/10/2019 19:00:00,1.10068,1.10096,1.1003,1.10093,2952
10/10/2019 20:00:00,1.10093,1.10093,1.10045,1.10058,1570
10/10/2019 21:00:00,1.10054,1.10085,1.10044,1.10083,865
10/10/2019 22:00:00,1.10085,1.10086,1.10055,1.10073,1573
10/10/2019 23:00:00,1.10074,1.10113,1.10061,1.10108,1619
11/10/2019 00:00:00,1.10107,1.1014,1.10049,1.10061,2289
11/10/2019 01:00:00,1.10062,1.10163,1.10061,1.1016,2711
