,Ask,Bid,BrokerName,Creation Time,Current Time,DR,Protocol,Symbol,Terminal,Terminal Time,TypeBroker,X,Y,Z
80,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:37.216000,2019-12-03 17:04:37.220014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:37.216000,MM,0.0,4.014,4.014
81,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:37.323000,2019-12-03 17:04:37.326014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:37.323000,MM,0.0,3.014,3.014
82,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:37.434000,2019-12-03 17:04:37.437014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:37.434000,MM,0.0,3.014,3.014
83,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:37.545000,2019-12-03 17:04:37.548014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:37.545000,MM,0.0,3.014,3.014
84,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:37.654000,2019-12-03 17:04:37.658012,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:37.654000,MM,0.0,4.012,4.012
85,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:37.765000,2019-12-03 17:04:37.770013,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:37.765000,MM,0.0,5.013,5.013
86,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:37.871000,2019-12-03 17:04:37.875014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:37.871000,MM,0.0,4.014,4.014
87,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:37.980000,2019-12-03 17:04:37.984049,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:37.980000,MM,0.0,4.049,4.049
88,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:38.092000,2019-12-03 17:04:38.096044,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:38.092000,MM,0.0,4.044,4.044
89,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:38.200000,2019-12-03 17:04:38.203014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:38.200000,MM,0.0,3.014,3.014
90,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:38.310000,2019-12-03 17:04:38.313014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:38.310000,MM,0.0,3.014,3.014
91,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:38.422000,2019-12-03 17:04:38.425014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:38.422000,MM,0.0,3.014,3.014
92,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:38.527000,2019-12-03 17:04:38.531044,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:38.527000,MM,0.0,4.044,4.044
93,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:38.646000,2019-12-03 17:04:38.649014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:38.646000,MM,0.0,3.014,3.014
94,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:38.744000,2019-12-03 17:04:38.747014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:38.744000,MM,0.0,3.014,3.014
95,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:38.855000,2019-12-03 17:04:38.858043,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:38.855000,MM,0.0,3.043,3.043
96,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:38.966000,2019-12-03 17:04:38.969014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:38.966000,MM,0.0,3.014,3.014
97,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:39.074000,2019-12-03 17:04:39.078014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:39.074000,MM,0.0,4.014,4.014
98,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:39.183000,2019-12-03 17:04:39.187014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:39.183000,MM,0.0,4.014,4.014
99,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:39.294000,2019-12-03 17:04:39.297014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:39.294000,MM,0.0,3.014,3.014
100,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:39.404000,2019-12-03 17:04:39.408013,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:39.404000,MM,0.0,4.013,4.013
101,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:39.515000,2019-12-03 17:04:39.518039,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:39.515000,MM,0.0,3.039,3.039
102,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:39.619000,2019-12-03 17:04:39.622015,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:39.619000,MM,0.0,3.015,3.015
103,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:39.732000,2019-12-03 17:04:39.736014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:39.732000,MM,0.0,4.014,4.014
104,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:39.844000,2019-12-03 17:04:39.847015,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:39.844000,MM,0.0,3.015,3.015
105,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:39.950000,2019-12-03 17:04:39.954043,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:39.950000,MM,0.0,4.043,4.043
106,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:40.062000,2019-12-03 17:04:40.066013,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:40.062000,MM,0.0,4.013,4.013
107,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:40.170000,2019-12-03 17:04:40.174013,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:40.170000,MM,0.0,4.013,4.013
108,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:40.275000,2019-12-03 17:04:40.278013,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:40.275000,MM,0.0,3.013,3.013
109,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:40.393000,2019-12-03 17:04:40.397013,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:40.393000,MM,0.0,4.013,4.013
